name,value1,value2
Bethesda-Rockville-Frederick,2.6,5.2
Boston-Cambridge-Quincy,2.7,6
Boston-Cambridge-Quincy,2.8,6.3
Brockton-Bridgewater-Easton,3,7.8
Camden,3.6,8.6
Chicago-Joliet-Naperville,4.4,9.1
Chicago-Joliet-Naperville,4.1,8.8
Dallas-Fort Worth-Arlington,3.7,6
Dallas-Plano-Irving,3.7,6
Detroit-Livonia-Dearborn,4.1,10.4
Detroit-Warren-Livonia,3.5,9.5
Edison-New Brunswick,3.3,7.7
Fort Lauderdale-Pompano Beach-Deerfield Beach,3.5,5.4
Fort Worth-Arlington,3.6,5.9
Framingham,2.4,5.6
Gary,3.3,9
Haverhill-North Andover-Amesbury,2.8,6.4
Lake County-Kenosha County,3.7,8.1
Lawrence-Methuen-Salem,4.7,11.2
Los Angeles-Long Beach-Glendale,5.7,9.7
Los Angeles-Long Beach-Santa Ana,5.2,8.6
Lowell-Billerica-Chelmsford,3,7
Miami-Fort Lauderdale-Pompano Beach,4.5,6.9
Miami-Miami Beach-Kendall,5.2,8
Nashua,2.7,5.4
Nassau-Suffolk,3.4,6.1
New York-Northern New Jersey-Long Island,4.6,7.9
New York-White Plains-Wayne,5.4,8.4
Newark-Union,3.6,8.2
Oakland-Fremont-Hayward,3.6,7.1
Peabody,2.9,6.9
Philadelphia,4.1,7.8
Philadelphia-Camden-Wilmington,3.8,7.9
San Francisco-Oakland-Fremont,3.4,6.3
San Francisco-San Mateo-Redwood City,3.1,5.2
Santa Ana-Anaheim-Irvine,3.5,5.8
Seattle-Bellevue-Everett,4.1,5.7
Seattle-Tacoma-Bellevue,4.3,6
Tacoma,4.8,7.9
Taunton-Norton-Raynham,2.8,7.5
Warren-Troy-Farmington Hills,2.8,8.5
Washington-Arlington-Alexandria,2.8,5.6
Washington-Arlington-Alexandria,2.9,5.7
West Palm Beach-Boca Raton-Boynton Beach,4.2,6.7
Wilmington,2.9,7
